所有人员代码：  
00庶民(BUG人物) 
01大空翼 つばさ
02雷纳托 レナ－ト
03利马 リマ
04马里尼 マリ－ニ
05奴马拉 ヌマラゥ
06多托尔 ドト－ル
07巴提斯塔 バチスタ
08塔哈马塔 タハマタ 
09巴宾通 バビントン
0A吉乌 ジウ
0B普拉通 プラトン
0C浦边反次 ラらべ
0D岸田猛 きしだ
0E中山政男 なかやま
0F森崎有三 もリさき 
10高杉真吾 たかすぎ
11岬 みさき
12井泽守 いざわ
13泷一 たき
14石崎 いしざき
15新田瞬 につた
16来生哲兵 きすぎ
17立花政夫 かずお
18立花和夫 まさお 
19佐野满 さの
1A日向小次郎 ひゆよが
1B早田诚 そうだ
1C次藤洋 じとラ
1D松山光 まつやま
1E反町一树 そリまち
1F泽田 さゎだ
20三杉淳 みすぎ
21若林源三 わかばやし
22若岛津健 わかレまづ
23萨托尔斯 サトルステギ
24利贝里奥 リベリオ
25达·席尔巴 ダ·シルバ
26曼昂 メオン
27托尼尼奥 トニ－ニョ
28奈依 ネイ
29扎加罗 ザガロ
2A迪乌塞乌 ディウセウ
2B卡洛斯 カルロス
2C桑塔玛利亚 サンタマリァ
2D杰特里奥 ジエト－リオ
2E次藤洋(国见) じとラ
2F佐野满(国见) さの 
30立花政夫(秋田商) かずお
31立花和夫(秋田商) まさお
32早田诚(立波) そうだ
33中西太一 なかにし
34三杉淳(武藏医大附属) みすぎ 
35松山光(ふらの) まつやま
36日向小次郎(东邦) ひゆよが
37反町一树(东邦) そリまち
38泽田(东邦) さゎだ
39若岛津健(东邦) わかレまづ
3A朗比昂 ランピオン 
3B拉蒙·比克多利诺 ビクトリ－ノ
3C达·席尔巴(乌拉圭) ダ·シルバ
3D卡贝罗 カベロマン
3E卡鲁茨 カルツ
3F梅兹 メッツァ 
40若林源三(汉堡) わかばやし
41日向小次郎(NPC.J.) ひゆよが
42新田瞬(NPC.J.) につた
43佐野满(NPC.J.) さの
44岬太郎(NPC.J.) みさき 
45三杉淳(NPC.J.) みすぎ
46立花政夫(NPC.J.) かずお
47立花和夫(NPC.J.) まさお
48次藤洋(NPC.J.) じとラ
49石崎了(NPC.J.) いしざき 
4A早田诚(NPC.J.) そうだ
4B松山光(NPC.J.) まつやま
4C若岛津健(NPC.J.) わかレまづ
4D李邦内 リ·バンネ
4E李邦坤 リ·バンクン
4F车 シァ
50金 キム
51麦哈 マッハ－
52加伊奇 ジャイッチ
53罗利玛 ロリマ－
54罗伯逊 ロブソン
55贝莱夫 べラエフ
56拉辛 ラツン
57拿破仑 ナポレオン
58皮埃尔 ビエ－ル
59埃斯帕尼亚 エスベ－ニャ 
5A朗比昂(意大利) ランピオン
5B海尔南迪斯 ヘルナンデス
5C依斯拉斯 イスラス
5D利布塔 リブタ
5E阿兰·帕斯卡尔 パスカル
5F萨托尔斯(阿根廷) サトルステギ 
60迪亚斯 ディァス
61巴宾通(阿根廷) バビントン
62格尔班 ガルバン
63施奈德 シュナイダ－
64玛加斯 マ－ガス
65卡鲁茨(W.GE.) カルツ
66梅兹(W.GE.) メッツァ
67谢斯塔 シェスタ－ 
68卡贝罗(W.GE.) カベロマン
69穆勒 ミコ－ラ－
6A卡洛斯(BRA.) カルロス
6B扎加罗(BRA.) ザガロ
6C利贝里奥(BRA.) リベリオ
6D奈依(BRA.) ネイ 
6E桑塔玛利亚(BRA.) サンタマリァ
6F托尼尼奥(BRA.) トニ－ニョ 
70多托尔(BRA.) ドト－ル
71奴马拉(BRA.) ヌマラゥ
72迪乌塞乌(BRA.) ディウセウ
73杰特里奥(BRA.) ジエト－リオ
74格鲁迪斯 ゲルティス
75库因布拉 コインブラ
76フルミのGK 77フルミの庶民 78フルミの庶民 79コリンのGK 7Aコリンの庶民 7Bコリンの庶民  
7Cケレミオの庶民 7Dケレミオの庶民 7EパルメのGK 7Fパルメの庶民  
80パルメの庶民 81サントスのGK 82サントスの庶民 83サントスの庶民 84フラメのGK 85フラメの庶民  
86フラメの庶民 87国见のGK 88国见の庶民 89国见の庶民 8A秋田商のGK 8B秋田商の庶民 8C秋田商の庶民  
8D立波の庶民 8E立波の庶民 8F武藏のGK  
90武藏の庶民 91武藏の庶民 92ふらののGK 93ふらのの庶民 94ふらのの庶民 95东邦の庶民 96东邦の庶民  
97罗马のGK 98罗马の庶民 99罗马の庶民 9A乌拉圭のGK 9B乌拉圭の庶民 9C乌拉圭の庶民 9D汉堡の庶民  
9E汉堡の庶民 9F叙利亚のGK  
A0叙利亚の庶民 A1叙利亚の庶民 A2中国のGK A3中国の庶民 A4中国の庶民 A5伊朗のGK A6伊朗の庶民  
A7伊朗の庶民 A8朝鲜のGK A9朝鲜の庶民 AA朝鲜の庶民 AB沙特のGK AC沙特の庶民 AD沙特の庶民  
AE韩国のGK AF韩国の庶民  
B0韩国の庶民 B1バスコのGK B2バスコの庶民 B3波兰の庶民 B4波兰の庶民 B5英格兰のGK  
B6英格兰の庶民 B7英格兰の庶民 B8苏维埃の庶民 B9苏维埃の庶民 BA法国のGK BB法国の庶民  
BC法国の庶民 BD墨西哥のGK BE墨西哥の庶民 BF墨西哥の庶民  
C0意大利の庶民 C1意大利の庶民 C2荷兰のGK C3荷兰の庶民 C4荷兰の庶民 C5阿根廷のGK  
C6阿根廷の庶民 C7西德の庶民. 
