圣保罗队教练地址：BE98H

00   足球在四处飞翔
01   足球以抽球射门的轨迹飞翔
02   大空翼（日本）的转身
03   日向（东邦）从右边进入（等待时间有些长）
04   大空翼（日本）表情严肃
05   卡洛斯（弗拉门戈）从右边进入
06   日向（日本）无奈的表情
07   大空翼（日本）背影向左移，微微转身   
08   大空翼（日本）变得惊讶
09   大空翼（圣保罗）表情严肃
0A   卡洛斯（巴西）表情严肃
0B   罗伯特从右边进入（好慢啊）
0C   大空翼（圣保罗）攥拳呐喊
0D   奖杯，游标变成三角形
0E   大空翼（日本）攥拳呐喊
0F   岬太郎（南葛）攥拳呐喊
10   大空翼（圣保罗）自然的表情
11   大空翼（圣保罗）严肃的表情
12   大空翼（日本）变得惊讶
13   大空翼（圣保罗）背影向左移，微微转身 
14   大空翼（圣保罗）从左进入，怅惘的表情
15   卡洛斯（弗拉门戈）表情严肃
16   大空翼（日本）背影，微微转身 
17   大空翼（黑白）攥拳呐喊
18   三杉淳（武藏）怅惘表情
19   岬太郎（南葛）微笑
1A   巴西联赛时的那个女的，进入并移出
1B   岬太郎自信并微笑着
1C   松山光（富良）自信表情，面向右
1D   松山光（富良）自信表情，面向左
1E   岬太郎自信并微笑着
1F   岬太郎（南葛）微笑
20   三杉淳（武藏）微笑
21   施奈德
22   中国队两兄弟（兄）
23   无人
24   石崎（日本）诧异
25   石崎（日本）被打的惨状
26   使用南葛队时的那个女的
27   使用南葛队时的那个女的微笑
28   使用南葛队时的那个女的惊讶
29   使用南葛队时的那个女的伤心
2A   巴西联赛时的那个女的
2B   巴西联赛时的那个女的微笑
2C   巴西联赛时的那个女的睁一眼，闭一眼
2D   巴西联赛时的那个女的愤怒，从右迅速进入
2E   武藏队那个女的
2F   这个忘了是哪一关的了，跟南葛队的女的挺像
30   日向（东邦）严肃表情
31   日向（东邦）无奈表情
32   日向（日本）严肃表情
33   日向（日本）由严肃到无奈
34   若林表情严肃，正面
35   无人
36   戴墨镜的罗伯特
37   曼昂尼
38   曼昂尼自信
39   若林面向右
3A   格鲁迪斯
3B   罗伯特
3C   罗伯特严肃
3D   戴墨镜的罗伯特
3E   双手交叉戴墨镜的罗伯特
