OO	无
O1	轨迹：冲力前奏-上旋球
O2	对方门将吹飞
O3	门将接住球
O4	对方门将单挑出击
O5	地面拦截-碰到球
O6	高空出脚拦截-未碰到球
O7	地面拦截-未碰到球
O8	拦截-断球
O9	拦截-硬直
OA	轨迹：球由左下经中弧线至右侧
OB	不出脚拦截-碰到球
OC	不出脚拦截-未碰到球
OD	不出脚拦截-断球
OE	轨迹：右下回旋镖式返回轨迹
OF	轨迹：国见射门-球由天而降
10	轨迹：由天而降贴地飘起
11	轨迹：射门中遇敌
12	轨迹：贴地直球
13	敌方平民倒飞
14	敌方平民横飞
15	铲球成功
16	门将接住球滑动
17	门将接球前和接住球后
18	门将球未接到
19	空中传球
1A	轨迹：球侧弧飞
1B	门将接球前和接住球后
1C	敌方跳起
1D	轨迹：响尾蛇射门-曲球
1E	轨迹：双人射门-残影球
1F	轨迹：曲尺加农炮-第一轨迹
20	跳起为倒挂准备
21	门前封堵拦截成功
22	门前封堵拦截失败
23	旋转扑救、前奏
24	门将击球没击倒
25	门将击球没击倒
26	若岛津、格尔迪斯击球没击倒
27	门将击球击到
28	轨迹：曲尺加农炮-华丽残影球
29	轨迹：冲力虎射-第一轨迹
2A	门将击球击出
2B	若岛津、格尔迪斯击球击倒
2C	门将击球硬直
2D	三角跳接住球
2E	蹬踏拦截-断球
2F	轨迹：冲力虎射-第二轨迹
30	不蹬踏拦截-断球
31	不蹬踏拦截-未碰到球
32	轨迹：老鹰射-贴地
33	防守中地面解围
34	防守中高空解围
35	进攻竞合成功
36	轨迹：由中下直线飞向中上
37	球员跑动
38	我方控制球员地面解围
39	我方控制球员高空解围
3A	敌方门将身形左右摇摆
3B	我方控制球员头球
3C	轨迹：飘球半弧线
3D	轨迹：加农炮-球左右旋转
3E	我方控制球员倒飞
3F	我方控制球员横飞
40	轨迹：球飞远至不见消失
41	轨迹：香蕉球射门-大弧线
42	轨迹：高球、空中飘
43	轨迹：球静止
44	进球有球的半网
45	网穿有球的半网
46	打气、庆祝动画？龙套
47	庆祝动画、岬的眼睛
48	庆祝动画、全日本岬
49	高空跳起准备拦截
4A	高空接传球
4B	立花尖脚前冲
4C	轨迹：传球时有人拦截
4D	踩门柱特写
4E	裁判吹哨、无衣服
4F	球爆胎
50	铲球动作中
51	轨迹：超旋-球旋转推进屏幕中
52	轨迹：球渐渐向远飞
53	轨迹：半空旋转的大弧线
54	轨迹：球经右向左渐远与52相似
55	轨迹：任意球
56	轨迹：直线经左向右
57	敌方门将高高跳起拦截
58	球员超速奔跑
59	敌方门将接球-未碰到球
5A	球员快速奔跑
5B	球员跑动
5C	我方控制球员静止不动
5D	轨迹：响尾蛇射门-反物理定律旋转
5E	轨迹：曲尺射门-下坠球
5F	轨迹：旋转倒钩-下旋球
60	我方球员过人
61	地面判定射门前奏：红屏幕、普通射门
62	必杀传球脚触球特写
63	将球踢出画面
64	起跳画面
65	轨迹：球下旋从天而降
66	传球
67	轨迹：老鹰射-半弧贴地
68	窝利射门前动作
69	窝利射门
6A	窝利射门后
6B	我方控制球员无球跑动
6C	脚部停球
6D	胸部停球
6E	高空漏球
6F	低空漏球
70	轨迹：球中下方半弧线飞远
71	起跳画面
72	轨迹：球由左上飞至中下渐远
73	轨迹：球经中下像前远去
74	轨迹：前空翻射门-四球残影
75	若林暴怒头像
76	铲球、震动效果
77	我方门将发球
78	我方控制球员地面接传球
79	大空翼剧情中眼神
7A	高空接传球
7B	轨迹：球由左上飞至中下球变大
7C	二过一配合中再传球
7D	格尔迪斯幻想扑救起始动作
7E	球出界
7F	我方门将发球
80	轨迹：射门距离过远球弹地
81	发界外球
82	角球直接射门
83	角球传球
84	轨迹：球飞来
85	点球、球放点门将准备
86	门将右扑、球右飞
87	门将右扑、球左飞
88	门将右扑、球中间
89	门将不动、球右飞
8A	门将不动、球中间
8B	我方控制球员带球中遇敌
8C	剧情中射门脚触球特写
8D	禁区接球遇敌
8E	地面判定射门前奏：翼、松山式
8F	裁判看表、无衣服
90	我方控制球员持球快跑
91	翼头像
92	翼二过一中
93	雷纳托头像
94	森崎头像
95	岬二过一中
96	岬头像
97	岬头像
98	石崎头像
99	石崎头像
9A	新田头像
9B	新田头像
9C	立花兄弟头像
9D	地面判定射门前奏：皮埃尔式
9E	日向头像
9F	早田头像
A0	次藤头像
A1	松山头像
A2	泽田头像
A3	三杉头像
A4	若林头像
A5	日向二过一中
A6	若岛津头像
A7	泽田二过一中
A8	梅欧头像
A9	弗拉门戈山达拿头像
AA	国见学院次藤头像
AB	秋田商校立花兄弟头像
AC	佐野起跳画面
AD	立波早田头像
AE	武藏医大附属三杉头像
AF	富良野松山头像
B0	东邦日向头像
B1	东邦泽田头像
B2	拉蒙·维多利诺头像
B3	汉堡卡尔兹头像
B4	拿破仑头像
B5	皮埃尔头像
B6	帕斯卡尔头像
B7	迪亚斯头像
B8	施耐德头像
B9	西德卡尔兹头像
