00 00   ０
00 01   １
00 02   ２
00 03   ３
00 04   ４
00 05   ５
00 06   ６
00 07   ７
00 08   ８
00 09   ９
00 0A   号
00 0B   旱
00 0C   前
00 0D   进
00 0E   ！
00 0F   梦
00 10   想
00 11   取
00 12   得
00 13   巴
00 14   西
00 15   杯
00 16   冠
00 17   军
00 18   的
00 19   日
00 1A   本
00 1B   少
00 1C   年
00 1D   大
00 1E   空
00 1F   翼
00 20   ，
00 21   已
00 22   带
00 23   球
00 24   过
00 25   了
00 26   中
00 27   场
00 28   —
00 29   圣
00 2A   宝
00 2B   罗
00 2C   锋
00 2D   向
00 2E   君
00 2F   封
00 30   堵
00 31   铲
00 32   就
00 33   象
00 34   饥
00 35   饿
00 36   老
00 37   虎
00 38   看
00 39   到
00 3A   食
00 3B   物
00 3C   一
00 3D   般
00 3E   被
00 3F   断
00 40   下
00 41   五
00 42   次
00 43   郎
00 44   东
00 45   方
00 46   学
00 47   员
00 48   后
00 49   卫
00 4A   出
00 4B   现
00 4C   黄
00 4D   金
00 4E   搭
00 4F   档
00 50   毕
00 51   杀
00 52   射
00 53   门
00 54   两
00 55   个
00 56   人
00 57   配
00 58   合
00 59   真
00 5A   是
00 5B   天
00 5C   衣
00 5D   无
00 5E   缝
00 5F   三
00 60   崎
00 61   南
00 62   活
00 63   高
00 64   若
00 65   桥
00 66   用
00 67   只
00 68   手
00 69   把
00 6A   接
00 6B   住
00 6C   不
00 6D   愧
00 6E   洋
00 6F   守
00 70   护
00 71   神
00 72   最
00 73   佳
00 74   超
00 75   级
00 76   建
00 77   相
00 78   德
00 79   汉
00 7A   堡
00 7B   队
00 7C   为
00 7D   世
00 7E   界
00 7F   第
00 80   即
00 81   将
00 82   举
00 83   行
00 84   比
00 85   赛
00 86   期
00 87   待
00 88   那
00 89   来
00 8A   临
00 8B   以
00 8C   友
00 8D   我
00 8E   们
00 8F   要
00 90   走
00 91   青
00 92   在
00 93   法
00 94   国
00 95   际
00 96   足
00 97   锦
00 98   标
00 99   击
00 9A   败
00 9B   夺
00 9C   结
00 9D   束
00 9E   再
00 9F   遇
00 A0   见
00 A1   教
00 A2   练
00 A3   弱
00 A4   贝
00 A5   尔
00 A6   于
00 A7   远
00 A8   渡
00 A9   开
00 AA   始
00 AB   追
00 AC   求
00 AD   新
00 AE   …
00 AF   加
00 B0   入
00 B1   又
00 B2   战
00 B3   斗
00 B4   你
00 B5   都
00 B6   听
00 B7   着
00 B8   决
00 B9   定
00 BA   组
00 BB   明
00 BC   ，
00 BD   誉
00 BE   准
00 BF   伍
00 C0   福
00 C1   莱
00 C2   蒙
00 C3   而
00 C4   也
00 C5   参
00 C6   淘
00 C7   汰
00 C8   长
00 C9   卡
00 CA   斯
00 CB   预
00 CC   全
00 CD   部
00 CE   获
00 CF   帽
00 D0   子
00 D1   戏
00 D2   还
00 D3   有
00 D4   其
00 D5   他
00 D6   对
00 D7   视
00 D8   眈
00 D9   让
00 DA   敌
00 DB   资
00 DC   料
00 DD   今
00 DE   位
00 DF   从
00 E0   协
00 E1   会
00 E2   修
00 E3   生
00 E4   给
00 E5   家
00 E6   介
00 E7   绍
00 E8   初
00 E9   面
00 EA   叫
00 EB   片
00 EC   桐
00 ED   这
00 EE   习
00 EF   管
00 F0   理
00 F1   请
00 F2   多
00 F3   关
00 F4   照
00 F5   哥
00 F6   很
00 F7   事
00 F8   哦
00 F9   宗
00 FA   正
00 FB   ·
00 FC   桑
00 FD   塔
00 FE   纳
00 FF   称
01 00   里
01 01   厉
01 02   害
01 03   角
01 04   色
01 05   啊
01 06   什
01 07   么
01 08   招
01 09   数
01 0A   吧
01 0B   好
01 0C   传
01 0D   言
01 0E   测
01 0F   试
01 10   能
01 11   耐
01 12   二
01 13   及
01 14   附
01 15   近
01 16   和
01 17   古
01 18   雷
01 19   密
01 1A   奥
01 1B   ？
01 1C   谁
01 1D   米
01 1E   昨
01 1F   况
01 20   先
01 21   陪
01 22   玩
01 23   如
01 24   何
01 25   挑
01 26   衅
01 27   反
01 28   果
01 29   样
01 2A   话
01 2B   勉
01 2C   强
01 2D   受
01 2E   志
01 2F   气
01 30   旋
01 31   转
01 32   没
01 33   值
01 34   干
01 35   、
01 36   希
01 37   望
01 38   哈
01 39   可
01 3A   太
01 3B   轻
01 3C   松
01 3D   刚
01 3E   才
01 3F   策
01 40   吗
01 41   说
01 42   但
01 43   赢
01 44   呢
01 45   意
01 46   思
01 47   清
01 48   楚
01 49   自
01 4A   己
01 4B   力
01 4C   量
01 4D   立
01 4E   成
01 4F   名
01 50   根
01 51   胜
01 52   机
01 53   白
01 54   至
01 55   之
01 56   努
01 57   小
01 58   算
01 59   口
01 5A   知
01 5B   道
01 5C   似
01 5D   且
01 5E   低
01 5F   终
01 60   快
01 61   与
01 62   怕
01 63   怎
01 64   甲
01 65   伯
01 66   特
01 67   原
01 68   认
01 69   识
01 6A   代
01 6B   奇
01 6C   擅
01 6D   头
01 6E   包
01 6F   含
01 70   些
01 71   未
01 72   公
01 73   记
01 74   录
01 75   数
01 76   唯
01 77   字
01 78   创
01 79   技
01 7A   基
01 7B   础
01 7C   上
01 7D   弥
01 7E   补
01 7F   然
01 80   时
01 81   遗
01 82   忘
01 83   职
01 84   业
01 85   选
01 86   首
01 87   嗯
01 88   双
01 89   各
01 8A   置
01 8B   去
01 8C   久
01 8D   利
01 8E   漂
01 8F   亮
01 90   竞
01 91   争
01 92   极
01 93   更
01 94   功
01 95   劳
01 96   谢
01 97   此
01 98   输
01 99   恭
01 9A   喜
01 9B   负
01 9C   激
01 9D   突
01 9E   征
01 9F   程
01 A0   星
01 A1   权
01 A2   冬
01 A3   联
01 A4   拉
01 A5   幕
01 A6   优
01 A7   候
01 A8   V
01 A9   达
01 AA   掀
01 AB   起
01 AC   热
01 AD   艰
01 AE   难
01 AF   武
01 B0   藏
01 B1   水
01 B2   城
01 B3   半
01 B4   分
01 B5   美
01 B6   杉
01 B7   [
01 B8   顺
01 B9   坚
01 BA   持
01 BB   回
01 BC   绿
01 BD   荫
01 BE   表
01 BF   演
01 C0   经
01 C1   该
01 C2   瞒
01 C3   确
01 C4   心
01 C5   脏
01 C6   痊
01 C7   愈
01 C8   种
01 C9   变
01 CA   便
01 CB   钟
01 CC   总
01 CD   死
01 CE   病
01 CF   绝
01 D0   放
01 D1   弃
01 D2   山
01 D3   油
01 D4   藤
01 D5   泽
01 D6   顾
01 D7   悔
01 D8   郊
01 D9   荣
01 DA   究
01 DB   竟
01 DC   落
01 DD   火
01 DE   ~
01 DF   燃
01 E0   烧
01 E1   做
01 E2   段
01 E3   连
01 E4   格
01 E5   帷
01 E6   主
01 E7   办
01 E8   声
01 E9   援
01 EA   咯
01 EB   体
01 EC   使
01 ED   共
01 EE   同
01 EF   鼓
01 F0   掌
01 F1   应
01 F2   宿
01 F3   命
01 F4   适
01 F5   作
01 F6   继
01 F7   续
01 F8   旗
01 F9   颁
01 FA   发
01 FB   身
01 FC   则
01 FD   帮
01 FE   助
01 FF   齐
02 00   复
02 01   兴
02 02   周
02 03   考
02 04   验
02 05   瞬
02 06   间
02 07   拔
02 08   集
02 09   训
02 0A   等
02 0B   -
02 0C   舞
02 0D   台
02 0E   切
02 0F   换
02 10   月
02 11   除
02 12   外
02 13   披
02 14   袍
02 15   评
02 16   价
02 17   当
02 18   嘛
02 19   需
02 1A   姐
02 1B   呵
02 1C   欠
02 1D   肯
02 1E   喔
02 1F   展
02 20   示
02 21   实
02 22   低
02 23   步
02 24   目
02 25   式
02 26   领
02 27   宾
02 28   顿
02 29   阿
02 2A   廷
02 2B   玛
02 2C   啦
02 2D   保
02 2E   重
02 2F   晴
02 30   地
02 31   园
02 32   岁
02 33   平
02 34   改
02 35   石
02 36   虽
02 37   趣
02 38   几
02 39   乘
02 3A   坐
02 3B   飞
02 3C   亚
02 3D   洲
02 3E   索
02 3F   乌
02 40   李
02 41   聂
02 42   “
02 43   打
02 44   语
02 45   赞
02 46   商
02 47   厨
02 48   师
02 49   华
02 4A   街
02 4B   因
02 4C   常
02 4D   韩
02 4E   游
02 4F   尽
02 50   状
02 51   态
02 52   掉
02 53   所
02 54   噢
02 55   产
02 56   Ｓ
02 57   圭
02 58   范
02 59   .
02 5A   迪
02 5B   垮
02 5C   欧
02 5D   丹
02 5E   麦
02 5F   皮
02 60   埃
02 61   破
02 62   马
02 63   克
02 64   防
02 65   伦
02 66   赶
02 67   抢
02 68   拿
02 69   滚
02 6A   圈
02 6B   波
02 6C   黎
02 6D   苏
02 6E   直
02 6F   朝
02 70   议
02 71   靠
02 72   朋
02 73   担
02 74   任
02 75   者
02 76   Ａ
02 77   采
02 78   访
02 79   Ｂ
02 7A   支
02 7B   Ｃ
02 7C   恩
02 7D   觉
02 7E   左
02 7F   右
02 80   够
02 81   属
02 82   或
02 83   兰
02 84   效
02 85   器
02 86   非
02 87   闯
02 88   徒
02 89   点
02 8A   消
02 8B   息
02 8C   迟
02 8D   跑
02 8E   暂
02 8F   吓
02 90   跳
02 91   咦
02 92   碰
