01 旋转射门	ドライブシュート
02 旋转倒钩	ドライブオーバーヘッド		
03 隼射		はやぶさシュート		
04 隼抽射	やぶさボレーシュート		
05 剃刀射门	カミソリシュート		
06 空中飓风	スカイラブハリケーン		
07 双人射门	ツインシュート			
08 双人飓风	スカイラブツインシュート	
09 猎鹰射门	イーグルシュート		
10 猛虎射门	タイガーシュート		
11 新猛虎射门	ネオ·タイガーシュート		
12 倒钩		オーバーヘッドキック		
13 强力倒钩	ハイパーオーバーヘッド		
14 岬跳抽射	ジャンピングボレーシュート	
15 旋转虎射	ドライブタイガー		
16 飓风射门	サイクロン			
17 佐野配合射门	さのとのコンビプレイ		
18 香蕉球	バナナシュート			
19 奈依联合射门	ブースターシュート		
20 桑塔纳幻象	ミラージュシュート		
21 魔幻冲击炮	マッハシュート			
22 蛇形射门	サイドワインダー		
23 曲尺射门	スライダーシュート		
24 加农炮射门	キャノンシュート		
25 火焰射门	ファイヤーシュート		
26 炸弹头球	ダイナマイトヘッド		
27 大力头球	キャノンヘッド			
28 火箭头球	ロケットヘッド			
29 升龙脚	しゅうりょうきゃく		
30 脚后跟射门	ぜんてんシュート		
31 曲尺加农炮	スライダーキャノン		
32 扎加罗射门	ダブルイール			
33 旋转传球	ドライブパス			
34 剃刀传球	カミソリパス			
35 上旋传球	トップスピンパス		
36 挑球过人	ヒールリフト			
37 直线盘突	ごういんなドリブル		
38 魔幻突破	きえるフェイント		
39 分身过人	ぶんしんドリブル		
40 高速突破	こうそくドリブル		
41 刺猬盘带	はりねずみドリブル		
42 黄金配合	ゴールデンコンビ		
43 东邦配合	とうほうコンビ			
44 双子攻击	ジェミニアタック		
45 埃菲尔攻击	エッフェルこうげき		
46 脸部挡球	がんめんブロック		
47 高空挡球	スカイラブブロック		
48 大力挡球	パワーブロック			
49 高空铲球	スカイラブタックル		
50 剃刀铲球	カミソリタックル		
51 大力铲球	パワータックル			
52 猛虎铲球	タイガータックル		
53 高空断球	スカイラブパスカット		
54 旋转扑	ローリングセーブ		
55 分身扑	ぶんしんセーブ			
56 大回转扑	だいかいてんセーブ		
57 三角扑	さんかくとび			
